prep_use_pca,prep_pca_components,prep_normalization,svm_kernel,svm_C,cv_mean,cv_std,test_score,training_time,svm_gamma,svm_degree,svm_coef0
False,,standard,linear,0.01,0.3013333333333333,0.0009428090415820641,0.3125,13.26377010345459,,,
False,,standard,linear,0.1,0.3033333333333333,0.010873004286866737,0.325,13.949151992797852,,,
False,,standard,linear,1.0,0.2853333333333334,0.011813363431112885,0.29,14.708409309387207,,,
False,,standard,linear,5.0,0.29000000000000004,0.016083117442419755,0.275,14.862462520599365,,,
False,,standard,linear,10.0,0.27466666666666667,0.020154955277107957,0.28,15.05779480934143,,,
False,,standard,linear,50.0,0.296,0.005887840577551903,0.315,14.833857297897339,,,
False,,standard,linear,100.0,0.264,0.0043204937989385775,0.27,14.475527286529541,,,
False,,standard,rbf,0.01,0.10933333333333334,0.0009428090415820641,0.115,19.366450309753418,scale,,
False,,standard,rbf,0.01,0.118,0.0,0.11,18.00093173980713,auto,,
False,,standard,rbf,0.01,0.11266666666666665,0.009428090415820637,0.1125,18.195910930633545,0.001,,
False,,standard,rbf,0.01,0.11466666666666665,0.006599663291074443,0.105,18.653486967086792,0.01,,
False,,standard,rbf,0.01,0.10866666666666668,0.0009428090415820641,0.12,18.859199047088623,0.1,,
False,,standard,rbf,0.01,0.104,0.0,0.1,17.3815860748291,1,,
False,,standard,rbf,0.01,0.11266666666666668,0.0009428090415820641,0.0875,17.961003065109253,10,,
False,,standard,rbf,0.1,0.212,0.005887840577551903,0.25,17.354920864105225,scale,,
False,,standard,rbf,0.1,0.22599999999999998,0.013063945294843619,0.2375,17.545840740203857,auto,,
False,,standard,rbf,0.1,0.112,0.002828427124746193,0.15,18.105626821517944,0.001,,
False,,standard,rbf,0.1,0.11666666666666665,0.0009428090415820576,0.1025,17.642667055130005,0.01,,
False,,standard,rbf,0.1,0.10666666666666667,0.0009428090415820641,0.1275,18.77036142349243,0.1,,
False,,standard,rbf,0.1,0.11266666666666668,0.0009428090415820641,0.0925,18.076226949691772,1,,
False,,standard,rbf,1.0,0.3506666666666667,0.010624918300339473,0.375,16.451523542404175,scale,,
False,,standard,rbf,1.0,0.35000000000000003,0.015577761927397219,0.365,15.561818361282349,auto,,
False,,standard,rbf,0.1,0.11133333333333334,0.0009428090415820641,0.085,18.43600845336914,10,,
False,,standard,rbf,1.0,0.3333333333333333,0.004714045207910321,0.34,16.660921335220337,0.001,,
False,,standard,rbf,1.0,0.11133333333333333,0.004714045207910314,0.1275,16.753989934921265,0.01,,
False,,standard,rbf,1.0,0.112,0.0,0.1175,17.356581449508667,0.1,,
False,,standard,rbf,1.0,0.114,0.0,0.0975,17.391265153884888,1,,
False,,standard,rbf,5.0,0.3413333333333333,0.009977753031397162,0.375,17.22868800163269,scale,,
False,,standard,rbf,1.0,0.112,0.0,0.1025,18.730993270874023,10,,
